Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1032,837,807,781,1201,526,758,467,890,1006
1035,834,809,782,1200,521,754,464,894,1005
1038,833,811,785,1200,520,752,465,899,1006
1038,834,811,786,1200,517,754,463,896,1007
1035,833,809,782,1199,521,753,468,895,1003
1028,829,802,772,1197,523,755,463,884,995
1012,825,790,759,1196,529,759,457,860,993
998,830,777,758,1189,532,753,457,844,994
989,832,769,762,1179,533,744,460,836,996
985,836,765,766,1177,537,742,461,832,998
983,839,765,770,1176,538,739,466,827,999
972,836,756,759,1175,537,737,461,811,996
947,837,741,748,1161,545,738,449,780,986
925,843,720,751,1145,559,733,450,754,990
913,843,707,760,1126,561,717,462,751,997
906,843,699,762,1110,558,704,462,749,1001
907,838,700,757,1107,555,700,461,744,995
910,829,701,749,1107,549,698,457,754,981
915,812,703,732,1111,535,699,448,755,965
912,802,701,724,1113,531,697,441,754,956
915,787,701,708,1107,519,694,436,755,940
913,777,698,698,1105,511,690,429,747,932
913,769,697,690,1104,503,686,422,748,924
924,762,702,691,1106,496,684,422,765,922
937,751,713,687,1108,491,684,423,784,909
951,731,723,674,1110,482,683,422,800,889
967,700,735,655,1109,469,682,420,816,865
965,684,737,631,1115,458,687,411,809,835
957,676,728,623,1112,462,688,410,798,823
955,672,725,619,1111,457,686,405,795,823
951,681,724,626,1116,459,689,401,789,841
938,699,716,637,1112,465,684,404,781,858
930,710,708,647,1107,470,680,407,770,868
930,710,706,650,1102,470,675,411,774,869
934,695,705,639,1097,463,672,410,776,854
939,685,710,634,1098,455,670,405,782,848
949,686,718,634,1099,453,673,408,798,853
961,685,726,639,1104,451,675,409,812,854
968,684,733,641,1105,446,674,410,821,853
974,681,739,641,1106,446,675,412,831,851
978,670,741,634,1107,442,676,411,830,839
978,654,741,618,1108,432,677,406,833,820
982,648,745,611,1111,429,684,398,836,812
987,653,748,613,1115,430,687,398,840,819
987,661,750,622,1117,433,688,400,840,829
988,667,751,627,1119,436,690,401,842,835
989,670,752,632,1120,437,690,403,846,841
994,672,756,636,1119,437,687,406,856,845
1012,666,771,644,1117,435,686,413,885,844
1146,594,941,606,1183,352,816,393,1065,780
1136,616,925,619,1179,368,808,399,1049,800
1125,635,912,637,1184,387,804,407,1029,822
1114,656,901,654,1185,405,800,416,1009,843
1097,685,884,675,1188,425,796,421,981,880
1082,719,870,708,1183,448,791,438,970,910
1075,728,863,719,1174,455,777,448,965,921
1070,747,856,737,1169,466,772,459,957,944
1071,751,858,745,1168,471,766,465,964,941
1079,752,864,747,1169,471,768,466,971,947
1082,753,864,748,1177,477,774,469,972,948
1082,753,864,748,1176,477,771,472,973,949
1084,757,865,750,1178,482,773,476,974,952
1083,753,863,744,1181,482,772,473,971,946
1081,745,861,737,1179,478,773,466,970,938
1078,737,858,726,1175,475,769,462,965,928
1070,721,851,705,1175,473,771,453,951,904
1063,701,841,680,1177,473,767,442,941,872
1053,684,834,657,1176,475,760,443,929,842
1046,654,824,626,1172,464,752,433,918,807
1038,635,816,602,1177,456,749,416,903,782
1029,612,808,578,1183,449,744,401,896,757
1020,588,799,557,1179,435,738,389,884,726
1013,572,791,539,1177,422,733,377,871,707
1004,562,782,527,1174,415,726,366,860,694
997,554,774,518,1171,411,720,359,851,687
995,542,771,508,1164,398,712,353,847,673
988,527,764,491,1161,391,711,347,834,652
979,520,754,487,1157,381,708,340,822,652
968,515,746,477,1157,383,704,340,809,637
965,495,743,458,1156,380,699,330,804,609
961,492,737,452,1158,379,696,323,797,610
953,496,730,460,1154,374,686,323,790,627
942,523,723,485,1148,375,679,324,779,669
930,552,710,512,1145,382,676,332,768,703
920,582,703,529,1144,400,679,338,753,726
914,590,699,533,1139,420,678,346,742,728
911,576,696,525,1135,419,674,350,740,712
917,559,696,512,1132,404,664,348,746,691
918,543,697,500,1132,396,659,345,749,676
926,518,698,481,1128,386,658,340,759,639
937,489,704,450,1132,375,658,330,772,597
951,427,717,408,1147,361,660,320,803,525
821,746,599,734,948,442,527,430,708,954
845,721,622,716,957,425,534,422,736,931
867,697,643,704,962,409,538,417,766,908
887,672,663,683,972,388,547,406,788,880
908,661,687,677,989,380,561,401,812,869
929,660,711,681,1003,381,574,410,842,866
951,660,737,684,1005,381,587,416,869,864
1002,650,807,684,1015,373,639,414,938,857
1027,645,843,690,1023,370,666,411,972,856
1043,643,865,692,1028,367,696,412,991,854
1063,673,886,650,1109,346,837,360,950,832
1048,677,864,657,1112,358,816,362,933,839
1026,697,841,675,1103,376,788,379,911,858
1009,709,822,686,1089,391,765,391,896,869
1003,712,814,690,1086,402,763,391,888,873
999,714,811,692,1087,406,762,391,882,876
994,711,805,689,1082,402,755,388,879,870
994,706,805,681,1082,402,757,381,880,866
998,704,805,677,1086,408,763,382,883,862
992,705,800,673,1090,424,763,383,873,859
976,708,788,665,1095,434,765,381,854,855
944,711,762,656,1092,445,762,377,816,848
916,717,738,658,1073,450,750,377,785,855
850,746,687,671,1042,473,737,382,716,868
826,754,663,677,1021,482,718,388,695,870
819,754,655,679,1012,483,711,388,688,875
808,757,644,684,1000,484,702,390,679,882
798,756,633,682,993,487,698,389,663,879
786,756,621,682,986,496,696,390,644,880
779,757,614,680,983,505,693,391,636,875
773,753,607,674,979,505,690,390,627,871
763,749,599,669,975,510,691,387,613,872
762,745,595,667,969,506,681,384,609,868
767,733,599,657,972,502,684,379,616,854
769,727,599,651,972,501,683,377,613,848
768,719,597,642,971,497,684,375,612,836
768,711,598,633,974,495,688,372,609,826
762,694,596,611,977,492,692,364,596,801
767,689,597,612,970,481,682,361,605,802
772,681,599,604,974,476,684,359,610,791
775,678,601,600,977,475,686,360,612,787
774,680,600,603,977,476,688,359,611,791
777,675,603,600,978,478,684,362,615,783
788,660,610,586,978,475,685,364,621,758
777,624,600,556,976,439,672,335,613,739
778,620,600,553,975,437,672,335,614,732
786,610,602,546,976,430,674,333,622,720
792,604,605,543,977,426,672,332,627,716
793,605,605,544,979,428,672,333,629,717
794,606,606,545,978,426,671,334,631,717
795,604,607,544,978,423,671,334,632,717
794,600,606,542,979,423,671,330,632,714
796,592,607,535,979,422,669,329,632,703
797,581,609,523,980,418,669,326,634,685
800,571,609,514,981,415,671,324,636,672
801,573,610,515,982,416,671,326,635,673
802,579,611,522,983,419,670,328,639,684
803,587,611,530,982,419,667,329,640,697
802,593,610,535,981,418,667,328,639,707
801,594,610,538,979,417,665,330,642,711
801,593,610,536,979,417,665,330,641,707
803,587,611,530,982,415,666,327,641,699
804,581,612,525,982,413,667,326,641,689
804,576,613,521,982,412,668,325,642,683
805,575,614,519,982,411,668,324,644,681
806,580,615,523,984,413,669,325,646,687
805,584,612,528,983,414,667,327,643,694
802,584,609,529,979,414,665,326,641,696
801,583,609,529,978,414,665,325,640,696
801,587,608,531,979,414,664,325,638,700
801,589,609,531,978,416,664,325,638,704
800,590,609,531,978,416,664,325,637,703
799,591,608,534,978,416,664,325,636,705
799,592,607,534,977,416,664,326,637,707
798,592,607,535,976,416,663,325,637,708
798,592,607,537,976,415,663,325,639,711
797,593,606,539,975,416,664,326,638,712
796,594,605,541,973,417,663,326,637,713
795,594,604,541,973,419,663,326,636,714
795,594,604,540,974,419,662,326,636,715
796,595,604,540,973,420,662,327,636,715
795,596,604,540,973,419,662,327,635,716
794,597,604,541,973,419,662,327,634,717
794,598,603,542,972,419,661,328,634,718
794,597,603,542,972,418,661,328,634,718
794,597,604,541,972,418,662,327,636,717
796,597,605,542,973,417,662,327,636,717
795,596,604,541,973,417,662,326,635,715
795,594,604,539,973,415,662,326,635,712
797,596,605,541,973,417,663,327,636,713
798,599,607,543,975,419,664,328,639,716
798,598,607,544,974,416,664,328,640,715
798,595,607,541,973,414,665,325,641,715
798,595,607,542,973,414,663,326,640,716
798,596,607,542,974,414,664,326,640,716
797,594,606,540,975,413,664,326,638,712
798,591,607,536,973,412,663,324,636,706
