Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1221,785,1001,759,1324,385,925,376,1091,991
1197,794,975,760,1303,397,913,379,1066,998
1190,794,964,770,1294,411,895,384,1063,1002
1185,806,958,778,1282,408,883,385,1063,1007
1016,787,761,778,1045,401,656,428,902,1001
1019,765,762,762,1034,392,649,422,910,992
1020,758,763,757,1023,387,643,426,918,990
1026,760,770,765,1022,387,642,429,934,992
1031,762,773,772,1021,390,644,433,940,993
1025,760,764,771,1020,387,642,440,925,992
1018,744,758,749,1015,390,638,439,918,981
1019,723,759,734,1011,383,637,436,921,961
1017,720,753,730,1010,383,638,435,916,965
1016,727,754,738,1010,384,637,434,918,971
1016,729,754,738,1011,384,638,434,917,975
1015,734,753,741,1012,383,639,434,915,977
1009,738,744,749,1011,384,637,433,903,983
991,757,734,763,1012,384,634,431,879,993
1097,696,905,682,1049,349,781,364,1001,890
1096,693,902,681,1047,345,774,365,1001,886
1089,686,895,675,1042,342,770,364,992,879
820,671,648,594,1025,382,749,326,663,801
808,686,642,603,1026,406,756,328,645,810
797,700,629,612,1018,415,754,333,637,828
774,647,588,620,924,349,655,334,650,816
776,656,591,623,919,347,654,330,657,820
798,653,613,624,916,339,654,318,688,823
813,654,622,631,915,329,650,317,704,834
795,674,610,643,911,341,651,322,679,850
782,687,598,645,918,361,660,325,657,852
773,680,595,633,926,377,669,330,638,830
758,662,586,604,936,382,681,326,606,791
1261,736,1043,703,1380,372,1007,348,1129,937
1247,764,1029,738,1364,395,999,359,1123,970
1246,763,1023,749,1340,403,981,380,1133,971
1250,775,1028,763,1328,401,977,388,1139,987
1236,777,1015,758,1326,401,974,390,1120,986
1218,772,993,752,1314,398,971,379,1097,985
1213,781,989,755,1311,407,968,382,1092,986
1206,773,982,749,1308,400,965,376,1084,979
1204,768,978,744,1301,392,960,370,1078,975
1186,767,967,735,1296,393,955,367,1061,963
835,642,657,648,899,359,661,366,762,814
840,636,661,640,909,361,666,367,757,808
839,634,660,641,919,370,671,366,755,809
835,636,655,642,915,372,667,369,749,812
832,644,652,647,911,376,661,371,745,822
829,657,650,663,902,378,649,374,749,838
828,664,650,671,894,373,638,376,752,845
843,659,665,672,892,361,635,372,771,840
854,651,675,669,890,357,632,371,788,830
917,642,741,677,912,349,639,374,866,825
934,643,759,678,923,348,647,375,879,826
952,641,777,675,931,342,658,373,897,825
965,638,791,672,941,338,669,367,909,823
977,646,804,678,953,345,678,371,922,826
994,647,823,686,956,348,682,380,944,827
1011,649,846,694,964,348,690,389,969,829
1030,647,870,700,971,350,701,396,993,828
1049,644,894,700,978,347,711,402,1019,822
1068,639,917,699,987,344,724,406,1043,820
1150,699,971,696,1006,340,749,412,1097,813
1244,581,1061,590,1161,326,918,360,1182,750
1238,584,1045,584,1162,344,910,369,1174,743
1215,592,1022,588,1166,342,903,356,1143,757
1207,587,1014,591,1163,341,897,356,1134,760
1206,597,1013,600,1166,345,898,359,1129,771
1205,598,1013,601,1166,347,899,359,1129,771
1206,596,1013,600,1166,346,899,359,1130,769
1204,594,1012,598,1163,344,898,357,1130,767
1205,596,1013,600,1166,344,898,358,1130,769
1206,596,1013,600,1166,344,898,357,1130,770
1205,595,1012,600,1165,344,898,357,1130,768
1203,593,1012,598,1164,342,897,357,1129,768
1204,595,1012,599,1164,344,898,358,1128,769
1206,596,1012,599,1165,344,899,357,1129,769
1206,595,1012,599,1164,342,898,357,1129,769
1205,595,1012,600,1164,342,899,357,1129,769
1205,597,1012,601,1164,342,898,357,1129,771
1205,600,1012,603,1165,343,898,357,1128,773
1205,600,1012,603,1166,344,898,358,1128,773
1205,597,1012,601,1165,342,898,356,1130,771
1205,598,1011,602,1165,342,897,357,1129,771
1205,598,1011,602,1164,342,897,357,1129,772
1205,597,1012,602,1165,342,897,356,1130,772
1203,598,1012,602,1164,342,897,357,1128,772
1204,598,1012,602,1164,342,897,357,1128,771
1204,597,1012,602,1164,342,897,357,1129,772
1203,596,1012,601,1163,342,897,357,1130,771
1204,597,1012,601,1164,342,896,357,1129,771
1205,598,1012,603,1165,343,897,357,1128,774
1204,600,1013,603,1166,344,898,358,1128,775
1203,599,1012,604,1166,345,898,358,1126,776
1203,600,1012,603,1167,344,897,358,1126,777
1203,600,1012,604,1166,344,898,358,1127,777
1202,601,1011,604,1166,344,897,358,1126,778
1202,600,1011,605,1166,344,897,359,1127,779
1201,600,1011,606,1166,344,898,359,1125,779
1201,601,1010,607,1165,344,897,358,1125,780
1201,602,1010,608,1164,343,897,358,1124,781
1199,602,1009,608,1165,344,897,358,1124,783
1199,603,1009,608,1165,345,897,359,1125,783
1199,604,1009,609,1165,345,897,358,1124,789
1175,658,994,661,1161,344,878,375,1091,855
786,501,614,502,892,338,637,320,690,635
809,485,631,492,898,325,631,321,715,618
817,474,637,482,903,321,632,319,725,605
