Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1153,553,946,565,1197,348,851,368,1069,725
1153,553,945,564,1198,348,850,367,1069,723
1153,553,945,564,1198,349,850,365,1069,723
1152,555,944,565,1196,350,849,367,1067,725
1150,553,942,563,1196,349,848,366,1065,726
1149,553,941,564,1194,348,846,366,1064,726
1149,555,942,566,1194,350,847,368,1065,728
1150,556,943,567,1195,351,849,370,1065,729
1150,556,942,567,1195,351,849,370,1065,728
1151,555,944,567,1195,350,849,370,1066,728
1152,555,945,567,1197,350,851,363,1067,728
1152,556,946,567,1196,350,853,364,1067,728
1153,557,947,566,1200,350,855,360,1069,728
1155,557,948,566,1202,351,859,357,1070,728
1154,559,947,569,1201,351,859,359,1068,732
1152,561,946,571,1201,353,857,360,1065,734
1141,563,933,572,1198,357,852,362,1051,739
1108,579,900,576,1182,371,839,362,995,752
1024,584,829,559,1138,373,825,319,904,738
999,581,805,556,1107,371,799,318,879,734
980,577,791,546,1096,372,794,311,856,719
957,568,773,533,1084,374,787,304,825,709
945,568,763,530,1075,374,783,299,814,707
930,579,757,534,1068,388,779,304,801,724
914,592,745,544,1053,400,778,304,788,732
875,569,711,570,971,350,714,294,794,733
890,500,707,494,985,298,722,275,781,654
909,511,727,521,987,296,719,285,814,669
929,519,743,534,989,292,717,295,842,679
941,519,753,541,996,294,721,301,855,684
952,520,762,542,1000,300,718,313,866,688
965,521,774,538,1020,304,729,315,875,686
973,526,780,541,1029,307,737,315,880,694
978,521,784,537,1028,305,734,319,888,683
988,506,791,523,1032,298,738,316,895,665
987,489,790,509,1031,289,732,317,896,649
991,481,793,501,1035,284,731,316,898,637
990,482,792,502,1037,284,732,315,896,641
988,490,791,509,1034,287,727,318,894,653
988,496,791,511,1034,288,730,317,891,661
985,502,787,517,1033,291,734,312,887,667
985,506,787,521,1031,294,732,315,886,671
986,505,788,519,1032,293,735,314,887,670
984,505,786,520,1032,295,734,315,886,671
983,510,785,523,1031,296,733,318,884,676
981,513,784,526,1031,297,733,319,884,678
980,513,783,527,1029,297,731,320,882,680
981,518,784,530,1029,299,732,321,884,684
983,520,786,531,1031,300,733,322,886,687
982,521,786,532,1031,300,733,322,885,687
984,523,788,534,1032,302,734,322,887,689
985,524,789,535,1034,302,735,322,889,691
987,523,790,534,1034,302,736,321,890,691
986,523,791,534,1034,302,737,322,889,692
985,524,789,535,1034,302,736,322,887,693
985,526,789,537,1034,303,736,323,888,697
983,526,787,538,1033,305,735,324,886,696
985,526,790,536,1034,304,736,325,888,693
986,523,790,533,1035,303,738,323,888,690
986,521,789,531,1035,304,738,322,888,685
987,517,790,530,1035,302,738,321,888,682
986,519,788,531,1035,304,738,321,886,684
986,521,789,532,1036,305,737,323,887,685
984,524,788,536,1036,306,735,326,887,692
985,528,788,540,1036,308,735,327,886,700
981,533,786,543,1036,310,734,327,883,702
976,540,782,548,1034,312,731,327,881,712
973,549,780,559,1032,316,727,333,883,726
972,561,780,575,1034,325,727,334,885,735
967,563,777,577,1025,324,725,336,880,737
959,565,771,574,1027,320,730,322,869,738
952,573,766,582,1023,326,731,321,863,749
942,584,758,587,1023,339,729,324,852,755
922,587,745,586,1012,331,723,318,834,758
916,595,738,590,1002,339,720,322,827,765
916,600,740,594,1006,344,724,321,832,769
913,606,739,606,991,348,718,324,835,779
905,623,734,621,989,353,720,331,824,790
872,619,707,597,973,374,721,321,777,770
861,592,686,612,938,385,661,332,788,757
874,592,694,611,950,380,660,341,799,760
882,591,699,609,957,378,664,348,802,761
887,593,703,605,972,385,673,342,803,764
888,598,704,608,972,386,671,344,805,769
893,599,707,608,975,387,670,344,809,770
899,599,713,609,983,387,677,341,813,770
900,597,713,609,983,384,676,345,814,769
900,593,713,601,986,381,679,342,811,762
900,588,713,591,992,378,682,340,809,755
893,586,704,585,987,378,680,340,798,754
892,584,704,584,985,375,677,338,798,753
892,588,704,584,990,381,681,337,794,756
887,592,703,589,985,384,680,337,791,760
887,592,703,590,982,384,680,336,791,760
889,592,704,588,984,382,682,335,793,760
889,595,704,591,983,379,682,336,794,764
887,597,703,592,983,384,681,337,791,764
874,600,697,586,983,392,681,338,769,758
853,604,678,585,969,402,674,340,745,757
823,559,646,526,970,405,686,316,694,689
828,540,646,501,983,384,682,303,695,666
829,539,645,497,988,387,684,304,691,663
823,572,639,534,980,413,681,317,685,706
822,572,640,534,979,412,679,319,686,707
834,561,649,526,985,403,682,317,698,690
830,552,646,517,985,396,680,314,694,677
827,545,645,506,985,394,682,310,690,663
829,535,645,493,989,387,685,306,682,650
826,532,645,490,987,385,686,302,680,645
828,536,644,495,988,386,685,304,685,654
828,543,644,507,985,390,687,305,690,668
826,550,642,515,979,391,682,307,687,679
825,551,642,515,979,394,680,308,688,675
824,549,641,512,980,393,681,308,688,673
824,549,640,513,979,391,681,309,683,674
823,551,640,514,978,394,680,309,681,677
823,554,640,518,977,395,681,311,684,681
826,555,643,518,978,395,682,311,687,684
827,558,644,521,979,396,683,312,686,687
825,560,644,521,978,398,682,312,685,690
824,562,643,522,977,400,681,314,686,694
826,561,644,522,978,399,683,312,687,693
826,563,643,526,978,399,682,313,686,701
825,566,644,530,979,401,681,313,688,703
824,563,644,530,970,399,672,320,697,705
849,460,650,417,1012,359,666,279,694,553
852,456,651,419,1016,356,661,280,706,553
853,454,649,423,1013,353,656,283,709,555
856,455,650,425,1016,353,655,286,712,558
854,460,651,429,1015,356,653,289,710,563
850,476,644,443,1013,361,650,294,702,593
832,499,632,464,1008,372,647,300,685,623
815,519,619,482,993,380,635,308,669,643
802,529,607,490,985,395,642,309,655,654
776,611,578,564,982,465,625,338,622,750
781,617,579,578,979,468,611,363,629,759
788,609,583,574,983,467,611,369,633,753
792,604,587,566,989,463,612,366,638,749
793,594,588,554,990,457,606,362,640,737
798,577,588,535,992,453,609,356,637,705
794,559,584,518,987,438,597,353,634,681
