scorer,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000
bodyparts,nose,nose,nose,ear1,ear1,ear1,ear2,ear2,ear2,neck,neck,neck,hip1,hip1,hip1,hip2,hip2,hip2,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,50.99845504760742,188.15533447265625,1.0,63.92119598388672,201.3839569091797,1.0,63.351531982421875,173.04055786132812,1.0,88.3790054321289,185.0011444091797,1.0,137.0300750732422,200.7383575439453,0.9999996423721313,136.42929077148438,161.40771484375,1.0,178.69900512695312,179.20883178710938,1.0
1,66.73284149169922,195.99658203125,1.0,87.80770111083984,204.096923828125,1.0,73.16012573242188,177.26129150390625,1.0,100.50688171386719,182.8483123779297,1.0,143.86203002929688,200.43988037109375,0.9999996423721313,144.69358825683594,159.66099548339844,1.0,181.73326110839844,178.0000457763672,1.0
2,72.09033203125,198.17166137695312,1.0,96.71661376953125,202.71499633789062,1.0,78.56427001953125,179.25706481933594,1.0,106.23699951171875,181.8523712158203,1.0,144.5145721435547,199.73191833496094,1.0,145.835693359375,159.64218139648438,1.0,182.69808959960938,179.29588317871094,1.0
3,72.04389190673828,198.83323669433594,1.0,96.90921020507812,204.83120727539062,1.0,79.64514923095703,179.94833374023438,1.0,106.97139739990234,181.66932678222656,1.0,145.46876525878906,199.24026489257812,1.0,146.47682189941406,159.45480346679688,1.0,183.60671997070312,178.37351989746094,1.0
4,74.63416290283203,203.39715576171875,1.0,100.55007934570312,204.6045684814453,1.0,82.14073944091797,183.590576171875,1.0,108.5030288696289,183.46177673339844,1.0,146.4130096435547,198.62164306640625,1.0,146.86819458007812,159.9359130859375,1.0,183.3763427734375,177.5830078125,1.0
5,78.69609069824219,210.50735473632812,1.0,106.56050109863281,208.46730041503906,1.0,86.26359558105469,187.08837890625,1.0,110.08374786376953,186.9406280517578,1.0,149.37615966796875,200.42681884765625,1.0,146.4630889892578,161.02914428710938,1.0,182.5012664794922,176.83255004882812,1.0
6,89.44119262695312,219.83656311035156,1.0,114.60069274902344,214.4141845703125,1.0,89.39710998535156,198.56961059570312,1.0,111.83563232421875,192.03822326660156,1.0,150.13243103027344,201.26263427734375,1.0,133.06556701660156,161.1535186767578,0.9999977350234985,174.88230895996094,172.617431640625,1.0
7,94.77424621582031,228.0384521484375,1.0,118.46073913574219,219.3492889404297,1.0,91.60600280761719,206.41517639160156,1.0,113.5582046508789,196.21290588378906,1.0,152.96182250976562,199.57513427734375,1.0,129.50729370117188,160.73924255371094,0.9999996423721313,174.15199279785156,168.70594787597656,1.0
8,98.86898040771484,237.2267608642578,1.0,121.45759582519531,224.03890991210938,1.0,93.62405395507812,215.19970703125,1.0,114.80547332763672,202.7560272216797,1.0,155.4191131591797,197.05520629882812,1.0,128.29998779296875,162.62940979003906,1.0,174.6672821044922,163.42884826660156,1.0
9,102.02713775634766,251.7384490966797,1.0,124.41133117675781,234.14822387695312,1.0,95.052978515625,227.574951171875,1.0,115.79978942871094,212.1678924560547,1.0,155.26528930664062,196.85018920898438,1.0,125.66649627685547,167.40586853027344,1.0,171.0190887451172,160.50668334960938,1.0
10,102.97125244140625,263.5108337402344,1.0,124.02259826660156,248.75668334960938,1.0,95.669677734375,241.31463623046875,1.0,117.84144592285156,222.54202270507812,1.0,154.8057098388672,198.1753692626953,1.0,123.5982666015625,175.58145141601562,1.0,164.30039978027344,157.93487548828125,1.0
11,99.7218017578125,266.6430969238281,1.0,120.71659851074219,258.861328125,1.0,92.30066680908203,248.9883575439453,1.0,115.67879486083984,231.12200927734375,1.0,153.57064819335938,201.4329376220703,1.0,119.68346405029297,180.7722625732422,1.0,160.79690551757812,159.90139770507812,1.0
12,96.88081359863281,265.6969909667969,1.0,115.7383804321289,262.1445007324219,1.0,89.97403717041016,252.0155487060547,1.0,113.81796264648438,233.6309356689453,0.9999998807907104,154.55001831054688,203.55978393554688,1.0,117.69821166992188,183.6595001220703,1.0,157.42898559570312,162.0346221923828,1.0
13,93.0413818359375,262.74542236328125,1.0,112.47010803222656,264.3841857910156,1.0,86.05074310302734,253.19833374023438,1.0,112.5399398803711,236.22984313964844,0.9999998807907104,154.0447998046875,205.21267700195312,1.0,118.3152084350586,185.81370544433594,1.0,157.3736572265625,164.07150268554688,1.0
14,91.35296630859375,261.2457275390625,1.0,109.31511688232422,265.1289367675781,1.0,83.64407348632812,252.608642578125,1.0,110.16808319091797,237.77169799804688,0.9999998807907104,153.14707946777344,206.94606018066406,1.0,118.05004119873047,186.86227416992188,1.0,156.9368133544922,164.99151611328125,1.0
15,91.21133422851562,262.27850341796875,1.0,109.82515716552734,264.617919921875,1.0,83.54525756835938,252.36349487304688,1.0,109.20637512207031,237.5936279296875,1.0,152.35621643066406,206.8084716796875,1.0,117.85211181640625,187.1241912841797,1.0,155.8910675048828,165.3309326171875,1.0
16,91.63365936279297,263.8763427734375,1.0,110.94551086425781,264.2070617675781,1.0,84.55765533447266,252.13949584960938,1.0,109.15946960449219,237.0266571044922,0.9999998807907104,152.38018798828125,206.20359802246094,1.0,117.98072814941406,186.62509155273438,1.0,155.97438049316406,164.6708984375,1.0
17,92.27239990234375,265.7236633300781,1.0,112.94971466064453,262.4850769042969,1.0,87.25489044189453,249.88821411132812,1.0,110.2646713256836,234.8472442626953,0.9999998807907104,153.47378540039062,203.76406860351562,1.0,119.05966186523438,185.1295166015625,1.0,156.64306640625,162.2377166748047,1.0
18,95.35196685791016,264.6063232421875,1.0,117.96685791015625,258.6318054199219,1.0,91.10184478759766,245.77542114257812,1.0,115.1933364868164,229.86497497558594,1.0,156.66351318359375,198.78553771972656,1.0,121.61857604980469,181.2647247314453,1.0,158.355712890625,156.166748046875,1.0
19,101.46562194824219,260.3624572753906,1.0,123.26927947998047,252.16213989257812,1.0,92.72503662109375,242.31390380859375,1.0,118.27944946289062,223.2049102783203,1.0,159.55050659179688,193.7688446044922,1.0,126.10733795166016,178.05935668945312,1.0,161.0228271484375,151.24270629882812,1.0
20,121.38264465332031,249.2383575439453,1.0,139.68893432617188,234.40699768066406,1.0,106.2867660522461,235.6173858642578,1.0,124.61375427246094,216.0319366455078,1.0,160.06166076660156,188.17384338378906,1.0,128.0568389892578,171.7046661376953,1.0,162.55548095703125,146.4213409423828,1.0
21,128.3768768310547,245.8744354248047,1.0,143.19500732421875,228.68807983398438,1.0,112.04329681396484,233.383544921875,1.0,127.6044921875,213.38211059570312,1.0,161.10067749023438,184.61631774902344,1.0,127.69633483886719,170.25027465820312,1.0,160.8243865966797,144.3396453857422,1.0
22,134.677978515625,243.84884643554688,1.0,149.0474853515625,226.84295654296875,1.0,117.69445037841797,233.7464599609375,1.0,131.60772705078125,211.37908935546875,1.0,160.6562957763672,181.69790649414062,1.0,126.85626220703125,169.4039764404297,1.0,159.05613708496094,142.6133575439453,1.0
